term,definition
"_setting._objectLib._validFillFormOptions._fillRequired","Fill required fields"
"_setting._objectLib._validFillFormOptions._setupPreFields","Set field value"
"_setting._objectLib._valueTab","Value"
"_setting._objectLib._reference","Reference"
"_setting._objectLib._errType","Error Type"
"_setting._objectLib.preSteps","Pre-Steps"
"_setting._objectLib.endSteps","End-Steps"
"_setting._objectLib.entrySteps","Entry-Steps"
"_setting._objectLib.mainStep","Main-Step"
"_setting._objectLib.othSteps","Other-Steps"
"_setting._objectLib._validFillform","Fill Form Validations"
"_setting._objectLib._script","Script"
"_setting._objectLib._validScript","Validation Script"
"_setting._objectLib._preScript","Pre script"
"_setting._objectLib._loopScript","Repeat script"
"_setting._objectLib._endScript","Result script"
"_setting._objectLib._handleParameter","Parameter handler ($parameter)"
"_setting._objectLib._handleData","Final data handler"
"_setting._objectLib._auth","Authentication"
"_setting._objectLib._validation","Validation"
"_setting._objectLib._action","Actions"
"_setting._objectLib._option","Options"
"_setting._objectLib._searchFieldMap","Search Fields"
"_setting._objectLib._batchUpdate","Batch update"
"_setting._objectLib.disable","Disable"
"_setting._objectLib.path","Element path"
"_setting._objectLib.action","Action"
"_setting._objectLib.option","Option"
"_setting._objectLib.fakeElement","Fake Element"
"_setting._objectLib._field._title","Field"
"_setting._objectLib._field._setting","Field Setting"
"_setting._objectLib._field.name","Name"
"_setting._objectLib._field.alias","Alias"
"_setting._objectLib._field.data","Bind Data"
"_setting._objectLib._field.subtype","Sub-type"
"_setting._objectLib._field.ergodic","Ergodic checking"
"_setting._objectLib._field.defValue","Default Value of the form"
"_setting._objectLib._field.demoValue","Demo Value"
"_setting._objectLib._field.type","Type"
"_setting._objectLib._field.inputFormat","Input Format"
"_setting._objectLib._field.outputFormat","Output Format"
"_setting._objectLib._field.combFormat","Comb format"
"_setting._objectLib._field.displayFormat","Display Format"
"_setting._objectLib._field.dependencies","Dependencies"
"_setting._objectLib._field.key","Key"
"_setting._objectLib._field.label","UI Value"
"_setting._objectLib._field.unique","Unique"
"_setting._objectLib._field.required","Required"
"_setting._objectLib._field._inputFormatDesc","Set input format, like: /[a-z]+/"
"_setting._objectLib._field._outputFormatDesc","1. This is for validation, if output is the same as input, not need to set it.
2. base on $parameter to get data"
"_setting._objectLib._field._combFormat","Comb with multiple fields"
"_setting._objectLib._field._valueTypeTitle","Value Type"
"_setting._objectLib._field._valueType.0","Empty (false/null/uncheck)"
"_setting._objectLib._field._valueType.1","Not empty (on/true/not null/check)"
"_setting._objectLib._field._valueType.==","="
"_setting._objectLib._field._valueType.>",">"
"_setting._objectLib._field._valueType.<","<"
"_setting._objectLib._field._valueType.>=",">="
"_setting._objectLib._field._valueType.<=","<="
"_setting._objectLib._field._valueType.!=","!="
"_setting._objectLib._field._valueType.regex","match(Regex)"
"_setting._objectLib._field._valueType.script","Script"
"_setting._objectLib._field._targetType.[false]","Empty/Null/False"
"_setting._objectLib._field._targetType.[true]","No empty/No null/True"
"_setting._objectLib._field._targetType.[enable]","Editable/Enable"
"_setting._objectLib._field.moduleRelationship","Relationship Type"
"_setting._objectLib._field._relationships.ref","Reference"
"_setting._objectLib._field._relationships.include","Include"
"_setting._objectLib._field._relationships.dependency","Dependencies"
"_setting._objectLib._page._title","Page"
"_setting._objectLib._page.name","Name"
"_setting._objectLib._page.alias","Alias"
"_setting._objectLib._page.type","Type"
"_setting._objectLib._page.page","Page"
"_setting._objectLib._page.path","Path"
"_setting._objectLib._page.scope","Scope"
"_setting._objectLib._page.level","Level"
"_setting._objectLib._page.word","Word"
"_setting._objectLib._page.form","Form"
"_setting._objectLib._page.url","Page link"
"_setting._objectLib._page.preFilter","Pre-filter"
"_setting._objectLib._page.preFilterArea","Pre-filter area/element"
"_setting._objectLib._page.selector","Multiple Selector"
"_setting._objectLib._page.afterSearch","After Search enter details page"
"_setting._objectLib._page._confirmMsg","Validate confirm message"
"_setting._objectLib._pageType.home","Home page"
"_setting._objectLib._pageType.module","Module home page"
"_setting._objectLib._pageType.exModule","Module Ex-page"
"_setting._objectLib._pageType.parent","Parent Module home page"
"_setting._objectLib._pageType.parentDetails","Parent Module Details"
"_setting._objectLib._pageType.parentExDetails","Parent Module Ex-Details"
"_setting._objectLib._pageType.parentAddForm","Parent Add Form"
"_setting._objectLib._pageType.parentEditForm","Parent Edit Form"
"_setting._objectLib._pageType.details","Details page"
"_setting._objectLib._pageType.exDetails","Extra Details"
"_setting._objectLib._pageType.any","Any page"
"_setting._objectLib._relatedModuleSetting","Related Module Setting"
"_setting._objectLib._switchToOperation","Switch to operation"
"_setting._objectLib._switchToWebLink","Switch to Module/Web page"
"_setting._objectLib._switchToTrigger","Switch to Trigger event button"
"_setting._objectLib._askSwitchToOperation","Do you want to switch  to operation?"
"_setting._objectLib._askSwitchToWebLink","Do you want to switch  to web link?"
"_setting._objectLib._askSwitchToTrigger","Do you want to switch  to trigger event button?"
"_setting._objectLib._form._title","Form"
"_setting._objectLib._form.add","Create form"
"_setting._objectLib._form.edit","Edit form"
"_setting._objectLib._form.search","Search form"
"_setting._objectLib._form.exe","Process form"
"_setting._objectLib._operation._setting","Operation Setting"
"_setting._objectLib._operation._title","Operation"
"_setting._objectLib._operation.page","Page type"
"_setting._objectLib._operation._area","Area"
"_setting._objectLib._operation._level.module","Module"
"_setting._objectLib._operation._level.data","Handle Single Data"
"_setting._objectLib._operation._level.multiple","Handle Multiple Data"
"_setting._objectLib._operation._confirmPlaceholder","Format: message or in regex"
"_setting._objectLib._content._setting","Content setting"
"_setting._objectLib._content._cleanSteps","Do you want to clean the current steps?"
"_setting._objectLib._missPath","Missing element path"
"_setting._objectLib._dependenceDesc","Specify dependent data, like:
XXXX.checked"
"_setting._objectLib._toggle","Toggle"
"_setting._objectLib._panel","Main Panel"
"_setting._objectLib._clear","Clear button"
"_setting._objectLib._value","Retrieve value"
"_setting._objectLib._objTitle","Title"
"_setting._objectLib._header","Header"
"_setting._objectLib._ctrlPanel","Control Panel"
"_setting._objectLib._row","Row"
"_setting._objectLib._col","Col"
"_setting._objectLib._paging","Paging"
"_setting._objectLib._item","Item(s)"
"_setting._objectLib._missPanel","Please set the component panel first."
"_setting._objectLib._missFormat","Please set the component value format first. (Ex.: $1, $1-$2)"
"_setting._objectLib._selectMark","Please select the best css to specify the target element"
"_setting._objectLib._recordSteps","Record Steps"
"_setting._objectLib._ideEnvParameter","IDE link temporary Parameters"
"_setting._objectLib._supportMSCooperationTest","Need to perform tandem test tasks"
"_setting._objectLib._supportMSCooperationTestDesc","If certain functions need to be executed on a specific server, 
you need to enable this function."
"_setting._objectLib._customizeInputs","Customize Input Component"
"_setting._objectLib._missCloser","Didn't find clean button"
"_setting._objectLib._valueFormat","Value Format"
"_setting._objectLib._valueFormatDesc","Ex. 100 -> $1, 10:30 -> $1:$2, 2019-03-21 -> $1-$2-$3"
"_setting._objectLib._name","Name"
"_setting._objectLib._type","Type"
"_setting._objectLib._path","Element Path"
"_setting._objectLib._showSource","Show Source Data"
"_setting._objectLib._showDefUI","Show form UI"
"_setting._objectLib._fields","Fields"
"_setting._objectLib._element","Element"
"_setting._objectLib._selectors","Selectors"
"_setting._objectLib._operationType","Operation Type"
"_setting._objectLib._wordSetting","Word Setting"
"_setting._objectLib._confirmElementWord","Words definition"
"_setting._objectLib._confirmElement","Elements definition"
"_setting._objectLib._moduleData.dataSize","Data size"
"_setting._objectLib._moduleData.specialData","Specific field value"
"_setting._objectLib._dataType.string","String"
"_setting._objectLib._dataType.text","Text"
"_setting._objectLib._dataType.boolean","Boolean"
"_setting._objectLib._dataType.enum","Enum"
"_setting._objectLib._dataType.array","Array"
"_setting._objectLib._dataType.date","Date"
"_setting._objectLib._dataType.number","Number"
"_setting._objectLib._dataType.decimal","Float"
"_setting._objectLib._dataType.module","Module"
"_setting._objectLib._dataType.viewData","View data"
"_setting._objectLib._dataType.combo","Combo data"
"_setting._objectLib._dataType.object","Object (data structure)"
"_setting._objectLib._dataType.file","File"
"_setting._objectLib._dataType.fake","Fake"
"_setting._integration._title","Integrations"
"_setting._integration._description","The integration tab includes alias, notifications and feature file synchronization. 
The alias allows you to create a shortcut to any test."
"_setting._integration._help._alias","Use alias to create short-cuts to tests. 

All aliases are URL accessible."
"_setting._integration._help._notifications","Set up email notifications.

Test reports will be emailed to you."
"_setting._integration._help._monitor","Monitor test reports for certain keywords (via email).

Supports regular expressions."
"_setting._integration._help._feature","Load your Cucumber feature files into Boozang. 

 Xray, GitHub, GitLab, and BitBucket
are supported integrations."
"_setting._integration._help._upload","Integration for outgoing reports.

Contact Boozang support to activate."
"_setting._integration._help._tagFilter","Set up tag filters to specify which test cases to execute in the test suite."
"_setting._alias._title","Aliases"
"_setting._businessType.module.0",""
"_setting._businessType.module.1","Settings"
"_setting._businessType.module.2","Account"
"_setting._businessType.module.3","Tools"
"_setting._businessType.module.4","Data"
"_setting._businessType.module.5","Group"
"_setting._businessType.test.0","Add"
"_setting._businessType.test.1","Attach"
"_setting._businessType.test.2","Edit"
"_setting._businessType.test.3","Delete"
"_setting._businessType.test.4","Archive"
"_setting._businessType.test.5","Execute"
"_setting._businessType.test.6","Other"
"_setting._service._title","Service"
"_setting._service._description","Boozang supports user to take screenshots, email and TR Report system."
"_setting._service._trService","TR Report"
"_setting._service._emailService","Email Service"
"_setting._service._screenshotService","Screenshot Service"
"_setting._service._testService","Testing Report Service"
"_setting._service._server","Server host"
"_setting._service._monitorAction","Live View"
"_setting._service._note._trService","Note: Boozang supports customers to automatically generate Trouble Reports. If you want to have this feature activated contact  Boozang support."
"_setting._service._note._screenshotService","Note: If you want the screenshot service feature contact Boozang support."
"_setting._service._note._testService","Note: If you want this feature contact Boozang support."
"_setting._service._note._emailService","Note: If you want the feature contact Boozang support."
"_setting._fragment._title","Fragment"
